"","X","year","month","epoch","season","treatment","locality","site","bar","station","count_live","tran_length","area","density","ann_dis","mon_dis","ann_dis_lag","mon_dis_lag","mon_dis_lag2","mon_dis_lag3","ann_dis_sc","ann_dis_lag_sc","mon_dis_sc","mon_dis_lag_sc","mon_dis_lag2_sc","mon_dis_lag3_sc"
"1",1,2010,10,"epoch1","winter","control","CR","I","1","CRI1",1238,23,3.5052,353.189546958804,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"2",2,2010,10,"epoch1","winter","control","CR","I","2","CRI2",2002,18.5,2.8194,710.080158899056,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"3",3,2010,10,"epoch1","winter","control","CR","I","3","CRI3",960,13.5,2.0574,466.608340624089,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"4",4,2010,10,"epoch1","winter","control","CR","N","1","CRN1",358,20,3.048,117.45406824147,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"5",5,2010,10,"epoch1","winter","control","CR","N","2","CRN2",359,22.5,3.429,104.69524642753,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"6",6,2010,10,"epoch1","winter","control","CR","N","3","CRN3",1145,35,5.334,214.660667416573,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"7",7,2010,10,"epoch1","winter","control","CR","O","1","CRO1",515,60,9.144,56.3210848643919,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"8",8,2010,10,"epoch1","winter","control","CR","O","2","CRO2",1894,25,3.81,497.112860892388,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"9",9,2010,10,"epoch1","winter","control","CR","O","3","CRO3",169,40,6.096,27.7230971128609,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"10",10,2010,10,"epoch1","winter","control","HB","I","1","HBI1",1938,32.3,4.92252,393.700787401575,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"11",11,2010,10,"epoch1","winter","control","HB","I","2","HBI2",1421,16,2.4384,582.759186351706,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"12",12,2010,10,"epoch1","winter","control","HB","I","3","HBI3",1385,25.5,3.8862,356.389274870053,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"13",13,2010,10,"epoch1","winter","control","HB","N","1","HBN1",116,18,2.7432,42.286380869058,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"14",14,2010,10,"epoch1","winter","control","HB","N","2","HBN2",20,23,3.5052,5.7058085130663,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"15",15,2010,10,"epoch1","winter","control","HB","N","3","HBN3",54,16.5,2.5146,21.4745884037223,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"16",16,2010,10,"epoch1","winter","control","HB","O","1","HBO1",44,32.5,4.953,8.88350494649707,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"17",17,2010,10,"epoch1","winter","control","HB","O","2","HBO2",0,16,2.4384,0,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"18",18,2010,10,"epoch1","winter","control","LC","I","1","LCI1",950,19.5,2.9718,319.671579514099,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"19",19,2010,10,"epoch1","winter","control","LC","I","2","LCI2",946,20,3.048,310.367454068241,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"20",20,2010,10,"epoch1","winter","control","LC","I","3","LCI3",1587,20,3.048,520.669291338583,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"21",21,2010,10,"epoch1","winter","control","LC","N","1","LCN1",82,12.3,1.87452,43.7445319335083,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"22",22,2010,10,"epoch1","winter","control","LC","N","2","LCN2",78,17.5,2.667,29.2463442069741,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"23",23,2010,10,"epoch1","winter","control","LC","N","3","LCN3",146,25,3.81,38.3202099737533,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"24",24,2010,10,"epoch1","winter","control","LC","N","4","LCN4",14,20,3.048,4.59317585301837,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"25",25,2010,10,"epoch1","winter","control","LC","O","3","LCO3",333,21.2,3.23088,103.067894815035,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"26",26,2010,10,"epoch1","winter","control","LC","O","8A","LCO8A",142,14.3,2.17932,65.1579391736872,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"27",27,2010,10,"epoch1","winter","control","LC","O","9B","LCO9B",18,20,3.048,5.90551181102362,7781.17808219178,3790.96774193548,7618.65753424658,4424,4685.16129032258,5510,0.294673256068782,0.622513190973054,0.127972355415848,0.149341735118713,0.220494914224989,0.247680205490448
"28",28,2010,12,"epoch1","winter","control","CR","I","1","CRI1",270,23.4,3.56616,75.7116898849182,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"29",29,2010,12,"epoch1","winter","control","CR","I","2","CRI2",703,18.6,2.83464,248.003273784325,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
