"","station","strata","transect","tran_length"
"1","LCO21","Y_Y",1,22
"2","LCO22","Y_Y",1,19.8
"3","LCO21","Y_Y",2,21.8
"4","LCO21","Y_Y",3,21.7
"5","LCO21","Y_Y",4,22
"6","LCO21","Y_Y",5,21.7
"7","LCO21","Y_Y",6,22.4
"8","LCO19","Y_Y",7,23.4
"9","LCO21","Y_Y",7,21.8
"10","LCO19","Y_Y",8,21.7
"11","LCO19","Y_Y",9,23.3
"12","LCO19","Y_Y",10,23.1
"13","LCO19","Y_Y",11,22.2
"14","LCO19","Y_Y",12,22.3
"15","LCO19","Y_Y",13,24.3
"16","LCO20","Y_Y",13,23.3
"17","LCO19","Y_Y",14,22.8
"18","LCO20","Y_Y",14,23
"19","LCO19","Y_Y",15,22.1
"20","LCO20","Y_Y",15,20.7
"21","LCO19","Y_Y",16,21.6
"22","LCO20","Y_Y",16,22.8
"23","LCO21","Y_Y",16,22
"24","LCO20","Y_Y",17,23.2
"25","LCO21","Y_Y",17,21.7
"26","LCO21","Y_Y",18,22.2
"27","LCO21","Y_Y",19,22
"28","LCO21","Y_Y",20,22.2
"29","LCO21","Y_Y",21,22
"30","LCO21","Y_Y",23,21.7
"31","LCO21","Y_Y",24,21.6
"32","LCO21","Y_Y",25,21.3
"33","LCO21","Y_Y",26,22.24
"34","LCO21","Y_Y",27,22.2
"35","LCO21","Y_Y",28,22.8
"36","LCO21","Y_Y",30,23
"37","LCO21","Y_Y",33,22.3
"38","LCO21","Y_Y",34,22.6
"39","LCO21","Y_Y",35,10.5
"40","LCO21","Y_Y",36,10.5
