"","start_date","start_time","weekday","ampm","start_navd_ft","stop_navd_ft","length_min","mins_sun","sun_perc"
"1",2021-12-02,"05:00:00 EST","Thu","AM",-2.56,-2.48,150,19,12.67
"2",2021-12-03,"05:30:00 EST","Fri","AM",-2.69,-2.48,195,94,48.21
"3",2021-12-04,"06:00:00 EST","Sat","AM",-2.63,-2.49,225,153,68
"4",2021-12-05,"06:45:00 EST","Sun","AM",-2.61,-2.36,240,212,88.33
"5",2021-12-06,"07:45:00 EST","Mon","AM",-2.67,-2.36,225,225,100
"6",2021-12-07,"08:45:00 EST","Tue","AM",-2.58,-2.43,195,195,100
"7",2021-12-08,"10:00:00 EST","Wed","AM",-2.51,-2.47,135,135,100
"8",2021-12-16,"05:30:00 EST","Thu","AM",-2.52,-2.47,105,0,0
"9",2021-12-17,"05:45:00 EST","Fri","AM",-2.51,-2.46,150,54,36
"10",2021-12-18,"06:15:00 EST","Sat","AM",-2.52,-2.45,165,99,60
"11",2021-12-19,"07:00:00 EST","Sun","AM",-2.63,-2.36,165,143,86.67
"12",2021-12-20,"07:30:00 EST","Mon","AM",-2.57,-2.38,165,165,100
"13",2021-12-21,"08:15:00 EST","Tue","AM",-2.62,-2.37,150,150,100
"14",2021-12-22,"08:45:00 EST","Wed","AM",-2.52,-2.48,135,135,100
"15",2021-12-23,"09:45:00 EST","Thu","AM",-2.57,-2.43,105,105,100
"16",2021-12-24,"11:00:00 EST","Fri","AM",-2.51,-2.48,30,30,100
"17",2021-12-30,"04:00:00 EST","Thu","AM",-2.52,-2.42,135,0,0
"18",2021-12-31,"04:30:00 EST","Fri","AM",-2.66,-2.48,195,18,9.23
